Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Привод,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес 
Kia Ceed II,785000,2012,111662,хэтчбек 5 дв.,коричневый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103980845-d2d1ba51/
Kia Ceed I Рестайлинг,565000,2011,130000,универсал 5 дв.,бежевый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1101680324-8ff10def/
Kia Ceed I,355000,2007,264210,хэтчбек 5 дв.,синий,1.6,115,Бензин,2875,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103500497-106337ac/
Kia Ceed II,850000,2015,73000,хэтчбек 5 дв.,белый,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104000830-02c49f83/
Kia Ceed II Рестайлинг,898000,2016,123391,универсал 5 дв.,серебристый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104003800-0065ac51/
Kia Ceed II Рестайлинг,1100000,2018,46000,универсал 5 дв.,белый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103764582-6f5edba8/
Kia Ceed II Рестайлинг,800000,2015,89000,универсал 5 дв.,чёрный,1.6,130,Бензин,4550,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1102721035-8589ada2/
Kia Ceed III,999000,2018,55000,хэтчбек 5 дв.,серебристый,1.6,128,Бензин,4480,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103124699-efae05be/
Kia Ceed I,525000,2010,140000,хэтчбек 5 дв.,чёрный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103755093-00393bf8/
Kia Ceed II,598000,2015,129000,хэтчбек 5 дв.,серый,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103789532-ad8cb049/
Kia Ceed I Рестайлинг,575000,2011,143000,хэтчбек 3 дв.,синий,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103986547-c62051aa/
Kia Ceed II,700000,2012,125000,хэтчбек 5 дв.,синий,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103906972-9acc0c0f/
,,2011,84000,хэтчбек 3 дв.,белый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103988592-154601e3/
Kia Ceed I,428000,2008,224213,хэтчбек 3 дв.,синий,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103936690-90645be2/
Kia Ceed II,661000,2014,217969,хэтчбек 5 дв.,чёрный,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103388726-951537fa/
Kia Ceed II Рестайлинг,798000,2016,152000,универсал 5 дв.,белый,1.6,135,Бензин,4725,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103274958-1e116a5d/
Kia Ceed II Рестайлинг,649000,2015,109000,хэтчбек 5 дв.,белый,1.6,130,Бензин,4550,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103428530-88a8a872/
Kia Ceed II Рестайлинг,857000,2018,59490,хэтчбек 5 дв.,серый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103650326-6471bbe3/
Kia Ceed II Рестайлинг,864000,2015,75801,хэтчбек 5 дв.,серый,1.6,135,Бензин,4725,роботизированная,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103454383-a51a9e64/
Kia Ceed II Рестайлинг,1245000,2018,81000,хэтчбек 5 дв.,серый,1.6,135,Бензин,4725,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103955409-7b98d779/
Kia Ceed II Рестайлинг,861000,2016,98190,хэтчбек 5 дв.,белый,1.6,135,Бензин,4725,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103805043-74d2f013/
Kia Ceed III,1424000,2019,15500,хэтчбек 5 дв.,красный,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103949987-4bd6a25f/
Kia Ceed II,720000,2014,98530,хэтчбек 5 дв.,серый,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103674164-c1b0de3e/
Kia Ceed II,725000,2013,142000,универсал 5 дв.,коричневый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103973188-1eb5d27f/
Kia Ceed III,1525000,2020,25000,универсал 5 дв.,белый,1.6,128,Бензин,4352,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103971080-9673dc79/
Kia Ceed II Рестайлинг,903000,2016,74256,универсал 5 дв.,белый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103793321-d122a513/
Kia Ceed III,1419000,2019,26796,хэтчбек 5 дв.,серый,1.4,140,Бензин,4900,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103955414-4fd6de0a/
Kia Ceed I,384000,2009,187498,хэтчбек 5 дв.,чёрный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103798433-eea34766/
Kia Ceed III,1118000,2018,72412,хэтчбек 5 дв.,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103748841-cd068522/
Kia Ceed III,1209000,2019,40124,хэтчбек 5 дв.,чёрный,1.4,140,Бензин,4900,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103939689-dd374842/
Kia Ceed III,1057000,2019,48350,хэтчбек 5 дв.,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103926321-ab93f6d9/
Kia Ceed II,689000,2015,74000,хэтчбек 5 дв.,красный,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103952888-7feeccd7/
Kia Ceed II,725000,2014,123071,хэтчбек 5 дв.,чёрный,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103952875-fb028af9/
Kia Ceed II,700000,2013,209500,универсал 5 дв.,серый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103952766-d08bffec/
Kia Ceed III,1235000,2018,43690,хэтчбек 5 дв.,коричневый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103692892-e1911323/
Kia Ceed II,588000,2013,189000,универсал 5 дв.,серый,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104065658-e63922d4/
Kia Ceed II,980000,2014,19261,универсал 5 дв.,белый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104065435-fd4308cb/
Kia Ceed I,447000,2008,170000,хэтчбек 5 дв.,чёрный,1.6,115,Бензин,2875,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103934022-b3fd84c3/
Kia Ceed III,1350000,2018,29096,хэтчбек 5 дв.,серебристый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103498354-00173183/
Kia Ceed II Рестайлинг,927000,2017,149000,универсал 5 дв.,серый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103934021-cbf41224/
Kia Ceed II Рестайлинг,929000,2017,96599,хэтчбек 5 дв.,серый,1.6,130,Бензин,4420,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103925482-2523b6a2/
Kia Ceed II Рестайлинг,800000,2018,150000,универсал 5 дв.,коричневый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104064416-8435e1e6/
Kia Ceed I,389000,2009,293000,хэтчбек 5 дв.,зелёный,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103849461-372e8528/
Kia Ceed I Рестайлинг,495000,2010,196000,универсал 5 дв.,серый,1.6,122,Бензин,4148,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103914853-dcaaab9d/
Kia Ceed II,876000,2013,80854,хэтчбек 3 дв.,синий,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103911930-e2fff5a5/
Kia Ceed II,799000,2014,159000,универсал 5 дв.,чёрный,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104064124-6e6b5777/
Kia Ceed III,1214000,2018,81990,хэтчбек 5 дв.,синий,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103740240-27976fa8/
Kia Ceed I,528000,2008,180000,универсал 5 дв.,чёрный,2.0,143,Бензин,5005,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104063783-4f54b889/
Kia Ceed III,1650000,2019,16215,универсал 5 дв.,серый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104062887-ab5de01b/
Kia Ceed I,315000,2009,175000,универсал 5 дв.,серый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103891738-82b26580/
Kia Ceed I Рестайлинг,460000,2010,119000,хэтчбек 5 дв.,синий,1.6,125,Бензин,3125,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103613475-98fe0051/
Kia Ceed III,1190000,2018,113000,хэтчбек 5 дв.,синий,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104062583-c7b4a774/
Kia Ceed I,525000,2009,164496,хэтчбек 5 дв.,чёрный,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,1 владелец,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103726761-9c3b48a2/
Kia Ceed II Рестайлинг,599000,2015,128000,хэтчбек 3 дв.,чёрный,1.6,130,Бензин,4550,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104060871-43353811/
Kia Ceed II Рестайлинг,845000,2015,107500,хэтчбек 5 дв.,чёрный,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103874642-c2bfaaf1/
Kia Ceed II Рестайлинг,920000,2016,88491,хэтчбек 5 дв.,серый,1.6,135,Бензин,4725,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103880927-18b94dd3/
,,2015,254000,универсал 5 дв.,белый,1.4,100,Бензин,1000,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103919641-56911695/
Kia Ceed II Рестайлинг,809000,2016,52878,хэтчбек 5 дв.,белый,1.6,130,Бензин,4420,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103695247-48ffd798/
Kia Ceed I Рестайлинг,575000,2011,79000,универсал 5 дв.,синий,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104059123-664aa01f/
Kia Ceed I Рестайлинг,617000,2011,88971,хэтчбек 5 дв.,белый,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103874456-619f3bcc/
Kia Ceed II Рестайлинг,1025000,2016,57000,хэтчбек 5 дв.,коричневый,1.6,135,Бензин,4590,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103872088-839e9ac7/
Kia Ceed I,445000,2009,122000,хэтчбек 5 дв.,серый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103899678-51b64328/
Kia Ceed II Рестайлинг,900000,2016,60000,хэтчбек 3 дв.,белый,1.6,135,Бензин,4725,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104059523-8d4c9580/
Kia Ceed I Рестайлинг,570000,2011,158000,универсал 5 дв.,чёрный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104059334-cd4fedb9/
Kia Ceed I Рестайлинг,549000,2011,119334,хэтчбек 5 дв.,синий,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103856652-e2588ded/
Kia Ceed II Рестайлинг,1280000,2017,28000,хэтчбек 5 дв.,серый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103943078-8ea2014c/
Kia Ceed II Рестайлинг,921000,2017,109189,хэтчбек 5 дв.,белый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103869771-f62bded9/
Kia Ceed I Рестайлинг,485000,2010,149000,универсал 5 дв.,синий,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104059407-8b4b293f/
Kia Ceed II Рестайлинг,680000,2015,69500,хэтчбек 5 дв.,серебристый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103359899-dedd336b/
Kia Ceed II,735000,2013,179000,хэтчбек 5 дв.,синий,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103972864-ea38cfeb/
Kia Ceed III,1150000,2019,44000,хэтчбек 5 дв.,серый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104010648-d873b695/
Kia Ceed I Рестайлинг,549000,2010,142000,хэтчбек 5 дв.,синий,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103834406-05dac3de/
Kia Ceed II Рестайлинг,890000,2017,144932,универсал 5 дв.,синий,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103832496-f28a360d/
Kia Ceed III,1159000,2019,41500,универсал 5 дв.,синий,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103998117-d39db70a/
Kia Ceed II Рестайлинг,600000,2015,288900,универсал 5 дв.,белый,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104059558-35e17579/
Kia Ceed II Рестайлинг,1100000,2017,39308,хэтчбек 5 дв.,серебристый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104056161-0c7efcad/
Kia Ceed III,1329000,2019,55040,универсал 5 дв.,синий,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103828916-9dc80158/
Kia Ceed II,490000,2013,171420,универсал 5 дв.,коричневый,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103313574-e7c0520c/
Kia Ceed II,820000,2015,75000,хэтчбек 3 дв.,белый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104051774-c7892cb1/
Kia Ceed II,715000,2013,137000,хэтчбек 5 дв.,серый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104047066-3e18d2ee/
Kia Ceed I,355000,2008,152579,универсал 5 дв.,синий,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1101849760-83cf7ee2/
Kia Ceed III,1400000,2019,71000,универсал 5 дв.,голубой,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103730394-fd8a29b2/
Kia Ceed II,730000,2013,55000,хэтчбек 5 дв.,серебристый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103823477-89eb20b8/
Kia Ceed III,1245000,2019,41081,универсал 5 дв.,чёрный,1.4,140,Бензин,4900,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103504052-d8af651e/
Kia Ceed II,620000,2015,59300,хэтчбек 5 дв.,коричневый,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1102835343-1ad96faa/
Kia Ceed II,560000,2013,120000,хэтчбек 5 дв.,коричневый,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1093186666-f2fbcf05/
Kia Ceed I Рестайлинг,510000,2010,120000,универсал 5 дв.,серебристый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103236686-c88d115f/
Kia Ceed II,720000,2012,82956,универсал 5 дв.,белый,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104053728-7619b522/
Kia Ceed I Рестайлинг,577000,2012,139500,хэтчбек 5 дв.,серебристый,1.6,125,Бензин,3125,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104033163-6dede474/
Kia Ceed II Рестайлинг,920000,2016,77320,хэтчбек 5 дв.,белый,1.6,135,Бензин,4725,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104033641-ee1386a0/
Kia Ceed II Рестайлинг,1100000,2016,19000,хэтчбек 5 дв.,серебристый,1.6,135,Бензин,4725,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103740150-6bfdba71/
Kia Ceed II,1000000,2014,75000,хэтчбек 3 дв.,оранжевый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104003739-9f60618d/
Kia Ceed III,1305000,2018,59000,хэтчбек 5 дв.,чёрный,1.4,140,Бензин,4900,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103484095-d6fb219b/
,,2009,118000,хэтчбек 5 дв.,синий,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104010266-6f2aab2c/
Kia Ceed II,760000,2014,94500,универсал 5 дв.,коричневый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103725997-1f720e5e/
Kia Ceed II,780000,2014,62500,универсал 5 дв.,коричневый,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103225030-8bbf0ef9/
Kia Ceed I,340000,2009,220000,хэтчбек 5 дв.,синий,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104041492-6e471a08/
Kia Ceed III,1410000,2019,34000,хэтчбек 5 дв.,синий,1.4,140,Бензин,4900,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103987179-60210812/
Kia Ceed II Рестайлинг,1000000,2017,28699,хэтчбек 3 дв.,красный,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103849037-27440d2b/
Kia Ceed I,365000,2009,116000,хэтчбек 5 дв.,красный,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103670835-154a284a/
Kia Ceed II,790000,2014,110000,хэтчбек 5 дв.,белый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103560377-ee3a2dc5/
Kia Ceed II Рестайлинг,887000,2017,98069,универсал 5 дв.,белый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103764479-bcddca71/
Kia Ceed II,770000,2012,112000,хэтчбек 5 дв.,коричневый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103840518-987ed2f1/
Kia Ceed II,840000,2014,91349,хэтчбек 5 дв.,коричневый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103932027-0fd07dbf/
Kia Ceed II Рестайлинг,960000,2015,59800,хэтчбек 3 дв.,синий,1.6,135,Бензин,4725,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104033475-9dc94586/
Kia Ceed I,330000,2008,274000,универсал 5 дв.,синий,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104007217-0d52f7b0/
Kia Ceed I,380000,2008,225000,хэтчбек 5 дв.,серый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104050742-9053f276/
Kia Ceed III,1639000,2019,22305,универсал 5 дв.,синий,1.4,140,Бензин,4900,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103492518-c8acf694/
Kia Ceed II,795000,2014,110016,универсал 5 дв.,белый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103775236-a8628ed5/
Kia Ceed III,1440000,2018,29990,хэтчбек 5 дв.,коричневый,1.4,140,Бензин,4900,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103913511-fcc42b66/
Kia Ceed II,650000,2014,136008,хэтчбек 5 дв.,серебристый,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104027980-2763fb39/
