Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Kia Optima IV Рестайлинг,1750000,2020,4533,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104889343-06365264/
Kia Optima IV Рестайлинг,1560000,2019,74000,седан,белый,2.0,150,"Бензин, газобаллонное оборудование",5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,1.3,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104800392-af2c321d/
Kia Optima IV Рестайлинг,1475000,2019,79316,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104818774-3652b0a8/
Kia Optima IV,985000,2016,343181,седан,чёрный,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104202389-8190a6f0/
Kia Optima IV Рестайлинг,1770000,2018,41005,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104202353-3423de83/
Kia Optima IV Рестайлинг,1620000,2018,142226,седан,серый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104818825-4775056d/
Kia Optima IV,1050000,2017,125000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104899618-9ac2b27f/
Kia Optima IV,1289000,2018,107545,седан,серебристый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104883132-7fc52a01/
Kia Optima IV Рестайлинг,1425000,2019,147000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104884392-7be2f521/
Kia Optima IV Рестайлинг,1968000,2020,18586,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104772093-86f6b5d2/
Kia Optima III Рестайлинг,1094000,2014,134000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104884395-d223c37f/
Kia Optima III,949000,2012,97000,седан,белый,2.4,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104866617-12a3644d/
Kia Optima III Рестайлинг,1148000,2015,95518,седан,чёрный,2.0,150,Бензин,5250,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104667587-d34c489a/
Kia Optima III,932000,2013,129000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104642078-c159c411/
Kia Optima IV Рестайлинг,1852000,2019,28233,седан,чёрный,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104605894-61c211ff/
Kia Optima IV,1806700,2018,103161,седан,синий,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104879829-87df11b4/
Kia Optima IV,1499000,2016,75117,седан,синий,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104877650-c0110721/
Kia Optima IV,1445000,2017,124905,седан,серый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104021299-30a3e00f/
Kia Optima IV Рестайлинг,1695000,2019,35116,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104021315-2682896a/
Kia Optima IV Рестайлинг,1829000,2019,76353,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104873826-07af9df0/
Kia Optima IV,1668000,2016,37500,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104717576-576baba5/
Kia Optima IV Рестайлинг,1745000,2019,49086,седан,серебристый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104709455-b0c57f56/
Kia Optima IV,1565000,2017,103880,седан,чёрный,2.0,245,Бензин,18375,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104810332-6666b84f/
Kia Optima IV Рестайлинг,1528000,2019,19616,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104248065-cea3e560/
Kia Optima IV,1429000,2017,97000,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104868660-40a3ae92/
Kia Optima IV Рестайлинг,1570000,2019,53589,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104084499-641e3000/
Kia Optima III Рестайлинг,1015000,2014,157556,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104084491-2d607b7c/
Kia Optima IV,1398000,2017,89061,седан,синий,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104859420-39e00cb5/
Kia Optima IV,1320000,2017,143303,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1103997435-d1c399c1/
Kia Optima IV,1600000,2016,77829,седан,чёрный,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104701320-613ca9be/
Kia Optima III,895000,2012,183779,седан,чёрный,2.4,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1103926297-76f378b7/
Kia Optima III,825000,2012,285000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104852134-d4199b8c/
Kia Optima IV,1580000,2017,50000,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104848859-19e6f50c/
Kia Optima IV Рестайлинг,2097000,2019,37850,седан,серебристый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104844930-5e0abd85/
Kia Optima IV,1789000,2017,39097,седан,белый,2.0,245,Бензин,18375,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104614130-32172d45/
Kia Optima IV,1355000,2016,123779,седан,чёрный,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104714231-b9c9bc81/
Kia Optima IV Рестайлинг,1699000,2019,46694,седан,серый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1103992635-6d71f6a7/
Kia Optima IV Рестайлинг,1657000,2019,72308,седан,серый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104635703-7d2a6a2a/
Kia Optima IV Рестайлинг,1627000,2018,52383,седан,чёрный,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104624020-7ce2961f/
Kia Optima IV Рестайлинг,1739000,2019,81800,седан,белый,2.4,188,Бензин,9212,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104836296-f35849a2/
Kia Optima IV Рестайлинг,1832000,2019,25779,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104187115-a6959ee0/
Kia Optima IV Рестайлинг,1150000,2019,187941,седан,жёлтый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104830311-ef8548c2/
Kia Optima III,813000,2012,246200,седан,белый,2.4,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104709594-fb225dbc/
Kia Optima IV Рестайлинг,1620000,2018,128800,седан,белый,2.4,188,Бензин,9212,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104820952-e30657f2/
