Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,305000,2006,149172,седан,чёрный,2.7,172,Бензин,7740,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103849360-6abe6cf2/
Hyundai Sonata VII (LF) Рестайлинг,1133000,2017,82971,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104576162-729c9f99/
Hyundai Sonata VI (YF),800000,2011,153125,седан,серебристый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103926243-60b888f0/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,358000,2007,235460,седан,серый,2.0,137,Бензин,4795,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104861588-68995940/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,315000,2007,156000,седан,бежевый,2.0,137,Бензин,4795,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104656653-2128d8a7/
Hyundai Sonata VII (LF) Рестайлинг,1179000,2019,160000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104856532-d797d474/
Hyundai Sonata VII (LF) Рестайлинг,1520000,2019,11873,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104858931-19691623/
Hyundai Sonata VII (LF) Рестайлинг,1499000,2018,75433,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,2.8,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104853917-b133dbae/
Hyundai Sonata VII (LF) Рестайлинг,1560000,2018,35147,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103916362-0065ef77/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,349000,2008,194058,седан,чёрный,2.0,137,Бензин,4795,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1103409100-5bff95c9/
