Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Mazda 6 III (GJ) Рестайлинг,1650000,2018,45000,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103754007-adb02496/

Mazda 6 III (GJ) Рестайлинг,1397000,2016,70032,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103750743-7b321648/

Mazda 6 II (GH),499379,2007,177223,лифтбек,синий,2.0,147,Бензин,5145,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1102817230-b1ff02e3/

Mazda 6 III (GJ) Рестайлинг,1398000,2015,72858,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103760290-2055162e/

Mazda 6 III (GJ),1417000,2014,54000,седан,чёрный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103755342-5f3fc40c/

Mazda 6 II (GH) Рестайлинг,655000,2010,175609,седан,чёрный,1.8,120,Бензин,3000,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103744566-f1645ff8/

Mazda 6 II (GH) Рестайлинг,660000,2010,146121,седан,чёрный,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103287744-c75c0300/

Mazda 6 III (GJ) Рестайлинг,1560000,2015,86470,седан,серый,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103681696-39d62ab5/

Mazda 6 III (GJ) Рестайлинг 2,2070000,2020,25573,седан,белый,2.5,194,Бензин,9700,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103194792-79119e3d/

Mazda 6 III (GJ) Рестайлинг,1127000,2016,83111,седан,коричневый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1102537448-ee395999/

Mazda 6 III (GJ) Рестайлинг,1429000,2016,84090,седан,красный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103730885-4a4d55fa/

Mazda 6 II (GH),599000,2007,225354,седан,красный,2.5,170,Бензин,7650,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103160270-cd9993fa/

Mazda 6 III (GJ) Рестайлинг,1660000,2017,135005,седан,белый,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103644117-53e2cbd5/

Mazda 6 III (GJ) Рестайлинг,1660000,2017,135005,седан,белый,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103644117-53e2cbd5/

Mazda 6 III (GJ) Рестайлинг,1370000,2017,54064,седан,чёрный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103211529-1bf7aa5a/

Mazda 6 III (GJ) Рестайлинг 2,2227000,2019,6819,седан,красный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103406504-68c67217/

Mazda 6 II (GH) Рестайлинг,785000,2010,141429,седан,белый,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103080599-a95a6561/

Mazda 6 III (GJ) Рестайлинг,1575000,2018,62326,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103615490-c9adf9a0/

Mazda 6 II (GH) Рестайлинг,685000,2011,127255,лифтбек,серебристый,2.0,147,Бензин,5145,механическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1102096781-0db4eda7/

Mazda 6 III (GJ),1017000,2013,150000,седан,серый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103144541-3b3afe05/

,,2010,113000,седан,коричневый,1.8,120,Бензин,3000,механическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103746024-6e08b577/

Mazda 6 III (GJ) Рестайлинг,1399000,2016,78000,седан,чёрный,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103082189-28ca83bb/

Mazda 6 I (GG) Рестайлинг,359000,2006,145000,лифтбек,синий,1.8,120,Бензин,3000,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103717960-75d89fbc/

