Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Skoda Rapid I Рестайлинг,730000,2017,77423,лифтбек,белый,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103338520-1c82824c/
Skoda Rapid I,695000,2017,104240,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103732599-43f79a4e/
Skoda Rapid I Рестайлинг,919000,2019,50536,лифтбек,серебристый,1.6,110,Бензин,3740,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103736601-cd97d7d0/
Skoda Rapid I Рестайлинг,998000,2019,22747,лифтбек,синий,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103728132-5cb59c62/
Skoda Rapid I,799000,2016,37716,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103733842-f3c5afd3/
Skoda Rapid I Рестайлинг,1197000,2019,25500,универсал 5 дв.,синий,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103727542-ba3bd00d/
Skoda Rapid I,810000,2017,44492,лифтбек,бежевый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103448467-7f29b6d2/
Skoda Rapid I,698000,2016,111000,лифтбек,белый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103727667-c194c471/
Skoda Rapid I Рестайлинг,969000,2019,33674,лифтбек,белый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103472176-ee28240a/
Skoda Rapid I Рестайлинг,749000,2018,56390,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103046003-9aef1837/
Skoda Rapid I,625000,2015,123070,лифтбек,серый,1.6,105,Бензин,2625,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103518586-b3212840/
Skoda Rapid I,789000,2017,113459,лифтбек,чёрный,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103046022-39fc67f8/
Skoda Rapid I,789000,2017,113459,лифтбек,чёрный,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103046022-39fc67f8/
Skoda Rapid I,649000,2015,150856,лифтбек,синий,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103051529-0810aeec/
Skoda Rapid I,589000,2014,215048,лифтбек,серый,1.4,122,Бензин,3050,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103138055-4654bd62/
Skoda Rapid I,767000,2016,75200,лифтбек,синий,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103514606-7cc8f31b/
