Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Hyundai Solaris I Рестайлинг,665000,2015,141369,седан,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104897788-3770bb0b/
Hyundai Solaris I,590000,2014,105598,хэтчбек 5 дв.,чёрный,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104895845-49424497/
Hyundai Solaris I Рестайлинг,510000,2015,136000,седан,белый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104221158-582b14df/
Hyundai Solaris I,480000,2012,150000,седан,бежевый,1.4,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,1,Оригинал,8.7,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104848203-84d8485a/
Hyundai Solaris I,589000,2012,92246,седан,фиолетовый,1.4,107,Бензин,2675,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104896031-ac73f5f0/
Hyundai Solaris I,499000,2011,179000,седан,голубой,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104896034-2bdfebc5/
Hyundai Solaris II,854000,2017,73895,седан,красный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104621801-bb4f975e/
Hyundai Solaris II,818000,2017,67023,седан,серебристый,1.4,100,Бензин,1200,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104667305-e82546b6/
Hyundai Solaris I,415000,2011,169208,седан,красный,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104662300-082e2a3e/
Hyundai Solaris I Рестайлинг,799000,2016,17605,хэтчбек 5 дв.,серый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104890764-b29de8d6/
Hyundai Solaris I,539000,2012,117000,хэтчбек 5 дв.,серебристый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104896030-b2c27ad0/
Hyundai Solaris II,888000,2018,48155,седан,синий,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104617501-310a2a80/
Hyundai Solaris I,520000,2012,130475,седан,синий,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104846199-d0777741/
Hyundai Solaris I,540000,2012,105000,хэтчбек 5 дв.,серый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104716598-5321e30d/
Hyundai Solaris II,859000,2019,66394,седан,чёрный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104280322-50be0d57/
Hyundai Solaris II,833000,2018,61830,седан,коричневый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104236766-721ab1eb/
Hyundai Solaris I Рестайлинг,485000,2016,167172,седан,белый,1.4,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1103869791-997fac10/
Hyundai Solaris I,680000,2011,70338,хэтчбек 5 дв.,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104813971-bb06d83f/
Hyundai Solaris II,1010000,2017,47474,седан,красный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104740448-7b6b702a/
Hyundai Solaris I,590000,2013,157040,седан,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104277795-cf900f1a/
Hyundai Solaris I,440000,2012,167483,седан,фиолетовый,1.4,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1103520124-c1e9a8c7/
Hyundai Solaris I,578000,2013,106356,седан,серый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104797029-944e6f82/
Hyundai Solaris I,498000,2011,107000,седан,чёрный,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104625702-3e972ebe/
Hyundai Solaris II,899000,2018,137500,седан,белый,1.6,123,Бензин,4182,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104888622-f2e24d1d/
Hyundai Solaris I Рестайлинг,720000,2016,64000,хэтчбек 5 дв.,красный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104775134-dc2585d8/
Hyundai Solaris I,687000,2014,90607,хэтчбек 5 дв.,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104793459-97058d08/
Hyundai Solaris II,805000,2018,118000,седан,чёрный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104882827-badbac51/
Hyundai Solaris II,739000,2017,78500,седан,белый,1.4,100,Бензин,1000,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104885822-6c2a3662/
Hyundai Solaris I Рестайлинг,669000,2014,74815,хэтчбек 5 дв.,белый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104880816-534725fa/
Hyundai Solaris I Рестайлинг,849000,2016,20500,хэтчбек 5 дв.,серый,1.6,123,Бензин,4182,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104878665-a16e3a34/
Hyundai Solaris II,851000,2019,47069,седан,коричневый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104137406-64c46bf6/
Hyundai Solaris I Рестайлинг,757045,2016,35612,седан,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1103916494-5d0a4000/
Hyundai Solaris I,397000,2011,146825,хэтчбек 5 дв.,голубой,1.4,107,Бензин,2675,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104213682-06167176/
Hyundai Solaris I Рестайлинг,599000,2014,97000,седан,чёрный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104668830-b8c3bf4a/
Hyundai Solaris I,599000,2013,73377,седан,фиолетовый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104879986-dc817fda/
Hyundai Solaris II,,2017,99000,седан,белый,1.6,123,Бензин,3592,механическая,передний,Левый,Не требует ремонта,1,Оригинал,4.3,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104791315-628162dc/
Hyundai Solaris II,928000,2018,78300,седан,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104820472-fd3fc43e/
Hyundai Solaris I,505000,2011,67800,хэтчбек 5 дв.,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104252820-75cdf2e5/
Hyundai Solaris II,979000,2018,59075,седан,коричневый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104828755-dd08904e/
Hyundai Solaris I Рестайлинг,659000,2014,119233,седан,серебристый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104223640-a8bb6f77/
Hyundai Solaris I Рестайлинг,605000,2015,89819,хэтчбек 5 дв.,оранжевый,1.4,107,Бензин,2675,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1103763327-ccca91dd/
Hyundai Solaris II,914000,2017,51522,седан,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1103849249-f7bc7344/
Hyundai Solaris I Рестайлинг,670000,2014,80275,хэтчбек 5 дв.,чёрный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104643578-9af77852/
Hyundai Solaris I Рестайлинг,789000,2016,77000,седан,серебристый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104878035-a74dd7e7/
Hyundai Solaris I,469000,2011,122000,седан,бежевый,1.4,107,Бензин,2675,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104878928-e347a77f/
Hyundai Solaris I Рестайлинг,420000,2016,248000,седан,жёлтый,1.4,107,Бензин,2675,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,3.1,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104624050-672a4611/
Hyundai Solaris I,480000,2013,170000,седан,белый,1.4,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104699110-e2211797/
Hyundai Solaris II,549000,2018,170129,седан,белый,1.6,123,Бензин,4182,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104873097-ea83abd0/
Hyundai Solaris I,604000,2012,115786,хэтчбек 5 дв.,синий,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104873026-ff957dff/
Hyundai Solaris I,527000,2011,94000,седан,чёрный,1.4,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104869451-4285069d/
Hyundai Solaris I Рестайлинг,635000,2015,145800,седан,бежевый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104813838-2239387f/
Hyundai Solaris I,527000,2012,136650,хэтчбек 5 дв.,белый,1.4,107,Бензин,2675,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104759931-a4ea7567/
Hyundai Solaris II,867000,2017,66768,седан,чёрный,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104853965-5bbdbd07/
Hyundai Solaris I,530000,2012,122449,седан,синий,1.4,107,Бензин,2675,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104872725-0e4f92d8/
Hyundai Solaris II,939000,2019,64275,седан,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104731519-1fecf9a2/
Hyundai Solaris II,769800,2017,140000,седан,чёрный,1.4,100,Бензин,1200,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104869392-c256a6e1/
Hyundai Solaris I Рестайлинг,520000,2015,147850,седан,белый,1.4,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104225203-a9a6987f/
Hyundai Solaris I,519800,2012,48000,седан,белый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104869364-cf0a8b9d/
Hyundai Solaris I,449800,2012,170000,хэтчбек 5 дв.,белый,1.6,123,Бензин,3075,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104869386-09ef596c/
Hyundai Solaris II,889600,2018,66366,седан,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104761573-e1dc8c4c/
Hyundai Solaris II,799000,2018,125057,седан,белый,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104715980-c5e72f29/
Hyundai Solaris I Рестайлинг,629000,2014,138777,седан,белый,1.6,123,Бензин,3075,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/solaris/1104714760-eb8c9cb1/
